127.0.0.1, 2018-09-22 18:08:22, GET, /welcome/default/index, HTTP/1.1, 200, 0.018876
127.0.0.1, 2018-09-22 18:08:29, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.025064
127.0.0.1, 2018-09-22 18:08:49, GET, /admin/default/site, HTTP/1.1, 303, 0.003787
127.0.0.1, 2018-09-22 18:08:49, GET, /admin/default/index, HTTP/1.1, 200, 0.012649
127.0.0.1, 2018-09-22 18:08:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000323
127.0.0.1, 2018-09-22 18:08:54, GET, /welcome/default/index, HTTP/1.1, 200, 0.019057
127.0.0.1, 2018-09-22 18:10:36, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 304, 0.000621
127.0.0.1, 2018-09-22 18:10:36, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.021375
127.0.0.1, 2018-09-22 18:10:36, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001107
127.0.0.1, 2018-09-22 18:10:36, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.002284
127.0.0.1, 2018-09-22 18:10:36, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.001569
127.0.0.1, 2018-09-22 18:10:36, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.002171
127.0.0.1, 2018-09-22 18:10:36, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001308
127.0.0.1, 2018-09-22 18:10:36, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.002214
127.0.0.1, 2018-09-22 18:10:36, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.003825
127.0.0.1, 2018-09-22 18:10:36, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002387
127.0.0.1, 2018-09-22 18:10:36, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.002857
127.0.0.1, 2018-09-22 18:10:39, GET, /welcome/default/index, HTTP/1.1, 200, 0.018224
127.0.0.1, 2018-09-22 18:10:42, GET, /admin/default/index, HTTP/1.1, 200, 0.009793
127.0.0.1, 2018-09-22 18:10:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000217
127.0.0.1, 2018-09-22 18:10:48, POST, /admin/default/index, HTTP/1.1, 303, 0.011903
127.0.0.1, 2018-09-22 18:10:48, GET, /admin/default/site, HTTP/1.1, 200, 0.025459
127.0.0.1, 2018-09-22 18:10:48, GET, /admin/static/_2.17.1/images/folder_locked.png, HTTP/1.1, 200, 0.001770
127.0.0.1, 2018-09-22 18:10:48, GET, /admin/static/_2.17.1/images/folder.png, HTTP/1.1, 200, 0.002788
127.0.0.1, 2018-09-22 18:10:48, GET, /admin/static/_2.17.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000903
127.0.0.1, 2018-09-22 18:10:49, POST, /admin/default/check_version, HTTP/1.1, 200, 0.723988
127.0.0.1, 2018-09-22 18:10:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000325
127.0.0.1, 2018-09-22 18:10:57, POST, /admin/default/enable/welcome, HTTP/1.1, 500, 0.180925
127.0.0.1, 2018-09-22 18:11:06, GET, /admin/default/design/SP, HTTP/1.1, 200, 0.190971
127.0.0.1, 2018-09-22 18:11:06, GET, /admin/static/_2.17.1/images/search.png, HTTP/1.1, 200, 0.001331
127.0.0.1, 2018-09-22 18:11:06, GET, /admin/static/_2.17.1/images/help.png, HTTP/1.1, 200, 0.001915
127.0.0.1, 2018-09-22 18:11:06, GET, /admin/static/_2.17.1/images/test_icon.png, HTTP/1.1, 200, 0.001221
127.0.0.1, 2018-09-22 18:11:06, GET, /admin/static/_2.17.1/images/delete_icon.png, HTTP/1.1, 200, 0.001349
127.0.0.1, 2018-09-22 18:11:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000232
